year,STNAME,CTYNAME,POPESTIMATE,NPOPCHG,BIRTHS,DEATHS,NATURALINC,INTERNATIONALMIG,DOMESTICMIG,NETMIG,RESIDUAL,GQESTIMATES,RBIRTH,RDEATH,RNATURALINC,RINTERNATIONALMIG,RDOMESTICMIG,RNETMIG
2016,Alabama,Lamar County,13918,16,135,197,-62,3,75,78,0,217,9.705248023,14.162473041,-4.457225018,0.2156721783,5.3918044572,5.6074766355
2016,Alabama,Lauderdale County,92318,-159,940,1099,-159,48,-1,47,-47,2060,10.173435428,11.894261208,-1.72082578,0.5194945751,-0.010822804,0.5086717714
2016,Alabama,Lawrence County,33244,111,380,408,-28,0,144,144,-5,229,11.44974916,12.293414888,-0.843665728,0.0,4.3388523133,4.3388523133
2016,Alabama,Lee County,158991,2224,1904,1056,848,573,769,1342,34,4955,12.059868634,6.6886666371,5.3712019965,3.6293617264,4.8708187916,8.500180518
2016,Alabama,Limestone County,92753,1131,1013,787,226,83,820,903,2,2728,10.988474576,8.5369491525,2.4515254237,0.9003389831,8.8949152542,9.7952542373
2016,Alabama,Lowndes County,10358,-64,123,148,-25,-1,-64,-65,26,96,11.838306064,14.244465833,-2.406159769,-0.096246391,-6.159769009,-6.256015399
2016,Alabama,Macon County,18963,-252,186,269,-83,2,-162,-160,-9,1690,9.743831526,14.091885379,-4.348053853,0.104772382,-8.486562942,-8.38179056
2016,Alabama,Madison County,356967,3665,4249,3069,1180,537,1923,2460,25,8107,11.964481063,8.6417962772,3.3226847856,1.5121031609,5.4148498667,6.9269530277
2016,Alabama,Marengo County,19673,-239,230,267,-37,14,-224,-210,8,254,11.620563345,13.489958318,-1.869394973,0.7073386384,-11.31741821,-10.61007958
2016,Alabama,Marion County,29998,-147,292,404,-112,16,-33,-17,-18,868,9.7101907121,13.434647424,-3.724456712,0.5320652445,-1.097384567,-0.565319322
2016,Alabama,Marshall County,95157,464,1280,1145,135,103,225,328,1,1061,13.484329734,12.062154332,1.4221754016,1.0850671583,2.3702923361,3.4553594943
2016,Alabama,Mobile County,414836,202,5596,4514,1082,484,-1138,-654,-226,7516,13.492953332,10.884058495,2.6088948365,1.1670102596,-2.743920817,-1.576910557
2016,Alabama,Monroe County,21530,-167,229,267,-38,0,-121,-121,-8,230,10.595229833,12.353390242,-1.758160409,0.0,-5.598352881,-5.598352881
2016,Alabama,Montgomery County,226349,-519,3170,2171,999,375,-1829,-1454,-64,8876,13.988883912,9.5803996761,4.408484236,1.6548364249,-8.071188857,-6.416352432
2016,Alabama,Morgan County,119012,-375,1331,1245,86,117,-509,-392,-69,2121,11.16615422,10.444674684,0.7214795364,0.9815477414,-4.27015214,-3.288604399
2016,Alabama,Perry County,9574,-109,106,139,-33,2,-73,-71,-5,805,11.008983746,14.436308875,-3.427325129,0.2077166745,-7.581658618,-7.373941943
2016,Alabama,Pickens County,20324,-503,216,262,-46,0,-450,-450,-7,1842,10.497922286,12.733590921,-2.235668635,0.0,-21.87067143,-21.87067143
2016,Alabama,Pike County,33286,-90,392,339,53,87,-230,-143,0,2258,11.760823258,10.17071195,1.5901113078,2.6101827128,-6.900483034,-4.290300321
2016,Alabama,Randolph County,22652,-51,294,282,12,-5,-42,-47,-16,407,12.964392019,12.435233161,0.5291588579,-0.220482857,-1.852056003,-2.07253886
2016,Alabama,Russell County,58172,-686,873,629,244,47,-989,-942,12,574,14.919251474,10.749380501,4.1698709733,0.8032128514,-16.90164915,-16.0984363
2016,Alabama,St. Clair County,88019,1033,988,922,66,41,896,937,30,1893,11.291105968,10.536841805,0.7542641639,0.4685580412,10.239707437,10.708265478
2016,Alabama,Shelby County,210622,2095,2384,1527,857,210,1021,1231,7,2703,11.37542974,7.2861917838,4.089237956,1.0020303043,4.8717759079,5.8738062121
2016,Alabama,Sumter County,13040,-204,162,153,9,37,-250,-213,0,906,12.326890884,11.642063613,0.6848272713,2.8154010044,-19.02297976,-16.20757876
2016,Alabama,Talladega County,80103,-646,846,1053,-207,35,-415,-380,-59,2805,10.518986397,13.092780941,-2.573794544,0.4351826524,-5.160022878,-4.724840226
2016,Alabama,Tallapoosa County,40727,-28,450,543,-93,8,72,80,-15,576,11.045384257,13.328097003,-2.282712746,0.1963623868,1.7672614811,1.9636238678
2016,Alabama,Tuscaloosa County,206102,1781,2520,1810,710,339,763,1102,-31,11007,12.280013547,8.8201684603,3.4598450867,1.6519542033,3.7181152128,5.3700694162
2016,Alabama,Walker County,64967,-324,797,950,-153,35,-180,-145,-26,851,12.237252223,14.58643615,-2.349183927,0.537395016,-2.763745797,-2.226350781
2016,Alabama,Washington County,16756,-145,187,207,-20,44,-167,-123,-2,147,11.112101494,12.300561547,-1.188460053,2.6146121164,-9.923641442,-7.309029325
2016,Alabama,Wilcox County,10986,-44,140,126,14,0,-54,-54,-4,108,12.718023256,11.44622093,1.2718023256,0.0,-4.905523256,-4.905523256
2016,Alabama,Winston County,23805,-49,239,321,-82,-3,53,50,-17,301,10.029585178,13.470698084,-3.441112906,-0.125894375,2.2241339516,2.098239577
2016,Alaska,Alaska,741894,4185,11255,4511,6744,2030,-4587,-2557,-2,27826,15.213540389,6.097581581,9.1159588079,2.7439792971,-6.20031184,-3.456332543
2016,Alaska,Aleutians East Borough,3296,-21,15,6,9,79,-122,-43,13,1726,4.5365189778,1.8146075911,2.7219113867,23.892333283,-36.89702102,-13.00468774
2016,Alaska,Aleutians West Census Area,5647,-92,30,8,22,96,-218,-122,8,2520,5.2696293694,1.4052344985,3.8643948709,16.862813982,-38.29264008,-21.4298261
2016,Alaska,Anchorage Municipality,298192,-120,4560,1774,2786,1048,-3869,-2821,-85,8126,15.289084398,5.9479902901,9.3410941083,3.5138071161,-12.97225165,-9.458444537
2016,Alaska,Bethel Census Area,17968,28,435,142,293,9,-275,-266,1,324,24.22858416,7.909101036,16.319483124,0.5012810516,-15.31692102,-14.81563997
2016,Alaska,Bristol Bay Borough,898,6,11,7,4,0,1,1,1,16,12.290502793,7.8212290503,4.469273743,0.0,1.1173184358,1.1173184358
2016,Alaska,Denali Borough,1953,40,20,0,20,17,-10,7,13,44,10.346611485,0.0,10.346611485,8.794619762,-5.173305742,3.6213140197
2016,Alaska,Dillingham Census Area,4954,-45,97,47,50,1,-95,-94,-1,52,19.49161057,9.4443886265,10.047221943,0.2009444389,-19.08972169,-18.88877725
2016,Alaska,Fairbanks North Star Borough,100605,966,1676,471,1205,325,-539,-214,-25,4868,16.739577715,4.7042608018,12.035316913,3.2460398314,-5.383432213,-2.137392381
2016,Alaska,Haines Borough,2496,12,16,6,10,2,-3,-1,3,0,6.4257028112,2.4096385542,4.016064257,0.8032128514,-1.204819277,-0.401606426
2016,Alaska,Hoonah-Angoon Census Area,2078,-40,18,15,3,3,-51,-48,5,0,8.5795996187,7.1496663489,1.4299332698,1.4299332698,-24.30886559,-22.87893232
2016,Alaska,Juneau City and Borough,32468,-135,392,176,216,57,-411,-354,3,1076,12.048377926,5.4094758034,6.6389021223,1.7519325045,-12.63235543,-10.88042292
2016,Alaska,Kenai Peninsula Borough,58506,462,724,483,241,32,212,244,-23,1721,12.423852424,8.2882882883,4.1355641356,0.5491205491,3.6379236379,4.187044187
2016,Alaska,Ketchikan Gateway Borough,13746,57,168,76,92,51,-79,-28,-7,275,12.247129579,5.5403681429,6.7067614361,3.7178786222,-5.759066885,-2.041188263
2016,Alaska,Kodiak Island Borough,13732,-57,223,50,173,65,-294,-229,-1,391,16.205806475,3.6335888958,12.572217579,4.7236655645,-21.36550271,-16.64183714
2016,Alaska,Kusilvak Census Area,8049,-60,214,97,117,3,-184,-181,4,16,26.488426785,12.00643644,14.481990345,0.3713330858,-22.77509593,-22.40376284
2016,Alaska,Lake and Peninsula Borough,1562,-5,29,17,12,2,-22,-20,3,37,18.53627357,10.866091403,7.6701821668,1.2783636945,-14.06200064,-12.78363694
2016,Alaska,Matanuska-Susitna Borough,104365,3245,1514,573,941,83,2187,2270,34,2425,14.735868798,5.5770494197,9.1588193785,0.8078448549,21.286225272,22.094070127
2016,Alaska,Nome Census Area,9917,42,215,96,119,3,-80,-77,0,172,21.725949879,9.7008892482,12.025060631,0.303152789,-8.084074373,-7.780921584
2016,Alaska,North Slope Borough,9606,-84,161,66,95,24,-207,-183,4,2652,16.687396352,6.8407960199,9.8466003317,2.4875621891,-21.45522388,-18.96766169
2016,Alaska,Northwest Arctic Borough,7673,-91,179,84,95,5,-196,-191,5,381,23.191034527,10.882943577,12.30809095,0.6477942605,-25.39353501,-24.74574075
2016,Alaska,Petersburg Borough,3149,0,36,24,12,11,-27,-16,4,43,11.432200699,7.6214671324,3.8107335662,3.4931724357,-8.574150524,-5.080978088
2016,Alaska,Prince of Wales-Hyder Census Area,6347,-13,75,46,29,1,-59,-58,16,50,11.804517195,7.2401038798,4.5644133155,0.1573935626,-9.286220194,-9.128826631
2016,Alaska,Sitka City and Borough,8830,-14,76,51,25,44,-81,-37,-2,253,8.600203689,5.7711893176,2.8290143714,4.9790652937,-9.166006563,-4.18694127
2016,Alaska,Skagway Municipality,1088,30,12,12,0,1,27,28,2,32,11.18359739,11.18359739,0.0,0.9319664492,25.163094129,26.095060578
2016,Alaska,Southeast Fairbanks Census Area,6876,50,107,34,73,25,-48,-23,0,369,15.618157933,4.9627791563,10.655378777,3.6491023208,-7.006276456,-3.357174135
2016,Alaska,Valdez-Cordova Census Area,9355,47,132,47,85,31,-76,-45,7,192,14.14563575,5.0367036382,9.1089321117,3.3220811231,-8.144456947,-4.822375824
2016,Alaska,Wrangell City and Borough,2411,11,24,29,-5,7,8,15,1,16,9.9771357306,12.055705674,-2.078569944,2.9099979214,3.3257119102,6.2357098316
2016,Alaska,Yakutat City and Borough,601,-19,10,0,10,3,-35,-32,3,18,16.38001638,0.0,16.38001638,4.914004914,-57.33005733,-52.41605242
2016,Alaska,Yukon-Koyukuk Census Area,5526,-15,86,74,12,2,-41,-39,12,31,15.541700551,13.373091172,2.1686093792,0.3614348965,-7.409415379,-7.047980483
2016,Arizona,Arizona,6931071,113506,87204,56564,30640,14861,61544,76405,6461,156879,12.685476581,8.2283071572,4.4571694239,2.161814452,8.9527426575,11.11455711
2016,Arizona,Apache County,73112,1518,1005,680,325,76,1118,1194,-1,993,13.89023261,9.3983663428,4.4918662668,1.0504056501,15.452019958,16.502425608
2016,Arizona,Cochise County,125770,-625,1582,1283,299,281,-1163,-882,-42,5204,12.547340035,10.175876906,2.3714631293,2.2286994627,-9.224119128,-6.995419666
2016,Arizona,Coconino County,140908,1832,1683,869,814,171,863,1034,-16,11485,12.022115549,6.2074975713,5.8146179782,1.2214983713,6.1646379793,7.3861363506
2016,Arizona,Gila County,53556,418,615,832,-217,30,583,613,22,962,11.528295874,15.596003524,-4.06770765,0.5623558963,10.928449585,11.490805481
2016,Arizona,Graham County,37599,-74,581,270,311,19,-400,-381,-4,3121,15.437347221,7.1739823573,8.2633648634,0.5048357955,-10.62812201,-10.12328622
2016,Arizona,Greenlee County,9613,88,152,51,101,20,-39,-19,6,35,15.884627443,5.3297105236,10.554916919,2.0900825583,-4.075660989,-1.98557843
2016,Arizona,La Paz County,20317,170,205,262,-57,46,141,187,40,356,10.132463424,12.949782523,-2.817319098,2.2736259391,6.9691577699,9.242783709
2016,Arizona,Maricopa County,4242997,81360,56073,30645,25428,10188,43189,53377,2555,64540,13.343353203,7.2924055943,6.0509476082,2.4243768378,10.277425525,12.701802363
2016,Arizona,Mohave County,205249,1084,1879,3101,-1222,-67,1999,1932,374,4622,9.1789728734,15.148480511,-5.969507638,-0.327297064,9.7651765694,9.4378795058
2016,Arizona,Navajo County,110026,1663,1566,986,580,61,990,1051,32,2317,14.341381663,9.0297588248,5.3116228381,0.558636195,9.0663907065,9.6250269015
2016,Arizona,Pima County,1016206,8001,11778,9795,1983,2252,2568,4820,1198,25162,11.635977082,9.6768887346,1.9590883472,2.2248446585,2.5370342287,4.7618788872
2016,Arizona,Pinal County,418540,12320,4543,3021,1522,1103,8245,9348,1450,24001,11.016538144,7.325767496,3.6907706484,2.6747174936,19.993695136,22.668412629
2016,Arizona,Santa Cruz County,45985,-152,601,321,280,32,-505,-473,41,387,13.047914722,6.9690193439,6.0788953779,0.6947309003,-10.96372202,-10.26899112
2016,Arizona,Yavapai County,225562,3978,1944,2886,-942,80,4337,4417,503,4154,8.6951465517,12.908535467,-4.213388915,0.357824961,19.398585697,19.756410658
2016,Arizona,Yuma County,205631,1925,2997,1562,1435,569,-382,187,303,9540,14.643191307,7.6318534606,7.0113378463,2.7801053899,-1.866432793,0.9136725974
2016,Arkansas,Arkansas,2988248,10395,37936,30581,7355,3335,195,3530,-490,85075,12.717183299,10.251586421,2.4655968781,1.1179830848,0.0653693258,1.1833524106
2016,Arkansas,Arkansas County,18214,-159,232,225,7,9,-166,-157,-9,247,12.6821002,12.299450625,0.382649575,0.491978025,-9.07426135,-8.582283325
2016,Arkansas,Ashley County,20492,-318,237,263,-26,-5,-273,-278,-14,191,11.476441819,12.735460753,-1.259018934,-0.242119026,-13.2196988,-13.46181783
2016,Arkansas,Baxter County,41062,-8,374,680,-306,-2,336,334,-36,595,9.1072907028,16.558710369,-7.451419666,-0.048702089,8.1819510057,8.1332489164
2016,Arkansas,Benton County,258291,7440,3629,1727,1902,746,4772,5518,20,2138,14.255355088,6.7839620381,7.4713930495,2.9304201971,18.745261636,21.675681833
2016,Arkansas,Boone County,37304,75,435,459,-24,3,129,132,-33,465,11.672681899,12.316691935,-0.644010036,0.0805012545,3.4615539425,3.542055197
2016,Arkansas,Bradley County,10996,-57,126,135,-9,-3,-42,-45,-3,224,11.429089755,12.245453309,-0.816363554,-0.272121185,-3.809696585,-4.08181777
2016,Arkansas,Calhoun County,5144,-65,47,48,-1,0,-67,-67,3,175,9.0794938665,9.2726745871,-0.193180721,0.0,-12.94310828,-12.94310828
2016,Arkansas,Carroll County,27646,-98,311,305,6,49,-156,-107,3,230,11.229463802,11.012818198,0.2166456039,1.7692724318,-5.632785701,-3.86351327
2016,Arkansas,Chicot County,10945,-40,125,154,-29,16,-23,-7,-4,771,11.399908801,14.044687642,-2.644778842,1.4591883265,-2.097583219,-0.638394893
2016,Arkansas,Clark County,22657,15,244,247,-3,14,-10,4,14,2826,10.772864743,10.905317998,-0.132453255,0.6181151902,-0.44151085,0.1766043401
2016,Arkansas,Clay County,14920,-147,165,217,-52,0,-94,-94,-1,125,11.004768733,14.472938273,-3.46816954,0.0,-6.269383399,-6.269383399
2016,Arkansas,Cleburne County,25264,-205,226,374,-148,7,-41,-34,-23,339,8.9093883665,14.743855084,-5.834466718,0.2759545069,-1.616304969,-1.340350462
2016,Arkansas,Cleveland County,8241,-58,72,87,-15,1,-72,-71,28,52,8.7061668682,10.519951632,-1.813784764,0.1209189843,-8.706166868,-8.585247884
2016,Arkansas,Columbia County,23901,-239,301,296,5,43,-284,-241,-3,1817,12.530963136,12.322807602,0.2081555338,1.7901375908,-11.82323432,-10.03309673
2016,Arkansas,Conway County,20937,-57,244,230,14,7,-61,-54,-17,285,11.638167466,10.970403759,0.667763707,0.3338818535,-2.909541866,-2.575660013
2016,Arkansas,Craighead County,105835,1473,1528,943,585,149,736,885,3,3819,14.538742228,8.9725352883,5.5662069392,1.4177176649,7.0029543714,8.4206720362
2016,Arkansas,Crawford County,62267,373,777,623,154,72,161,233,-14,540,12.516007442,10.035357318,2.4806501236,1.1597844734,2.5934069474,3.7531914208
2016,Arkansas,Crittenden County,49235,250,790,495,295,5,-30,-25,-20,953,16.086336795,10.079413561,6.0069232336,0.1018122582,-0.610873549,-0.509061291
2016,Arkansas,Cross County,17037,-245,216,207,9,0,-245,-245,-9,225,12.587779364,12.063288557,0.5244908068,0.0,-14.2778053,-14.2778053
2016,Arkansas,Dallas County,7469,-114,68,84,-16,5,-96,-91,-7,401,9.0353441403,11.161307467,-2.125963327,0.6643635397,-12.75577996,-12.09141642
2016,Arkansas,Desha County,11876,-131,150,174,-24,12,-119,-107,0,56,12.561236026,14.57103379,-2.009797764,1.004898882,-9.965247247,-8.960348365
2016,Arkansas,Drew County,18651,-24,253,198,55,10,-77,-67,-12,978,13.55623426,10.609226812,2.9470074479,0.535819536,-4.125810427,-3.589990891
2016,Arkansas,Faulkner County,122227,884,1509,889,620,104,188,292,-28,4400,12.390688508,7.2997495586,5.0909389498,0.8539639529,1.5437040686,2.3976680215
2016,Arkansas,Franklin County,17626,-83,207,200,7,9,-97,-88,-2,448,11.71642847,11.320220744,0.3962077261,0.5094099335,-5.490307061,-4.980897127
2016,Arkansas,Fulton County,12123,-65,111,190,-79,0,29,29,-15,165,9.1316687919,15.630784419,-6.499115627,0.0,2.385751306,2.385751306
2016,Arkansas,Garland County,97477,323,1068,1324,-256,10,659,669,-90,2176,10.974613499,13.605232466,-2.630618966,0.1027585534,6.7717886668,6.8745472201
2016,Arkansas,Grant County,18082,52,188,169,19,1,46,47,-14,143,10.412051396,9.3597696057,1.05228179,0.0553832521,2.5476295968,2.6030128489
2016,Arkansas,Greene County,44598,431,572,486,86,22,336,358,-13,602,12.887962598,10.950261928,1.9377006703,0.4956908691,7.5705514561,8.0662423252
2016,Arkansas,Hempstead County,21974,-64,318,222,96,-7,-139,-146,-14,301,14.450604381,10.088157775,4.3624466055,-0.318095065,-6.316459148,-6.634554212
2016,Arkansas,Hot Spring County,33374,-109,340,382,-42,8,-74,-66,-1,2279,10.170961904,11.427374845,-1.256412941,0.2393167507,-2.213679944,-1.974363193
2016,Arkansas,Howard County,13377,27,188,168,20,16,-7,9,-2,181,14.068170764,12.571556853,1.496613911,1.1972911288,-0.523814869,0.67347626
2016,Arkansas,Independence County,37168,95,457,419,38,34,48,82,-25,1025,12.311256583,11.287563476,1.0236931076,0.9159359384,1.2930860306,2.209021969
2016,Arkansas,Izard County,13433,-21,104,192,-88,10,58,68,-1,1008,7.7360806338,14.281995016,-6.545914382,0.7438539071,4.3143526611,5.0582065682
2016,Arkansas,Jackson County,17221,-129,183,209,-26,2,-125,-123,20,2271,10.586908102,12.09105898,-1.504150878,0.1157039137,-7.231494605,-7.115790692
2016,Arkansas,Jefferson County,70016,-1748,890,864,26,26,-1863,-1837,63,5168,12.554662153,12.187896741,0.3667654112,0.3667654112,-26.28015235,-25.91338694
2016,Arkansas,Johnson County,26176,30,335,252,83,32,-67,-35,-18,580,12.805320898,9.632659302,3.1726615955,1.223194832,-2.56106418,-1.337869348
2016,Arkansas,Lafayette County,6847,-134,73,76,-3,0,-137,-137,6,113,10.558287533,10.99218976,-0.433902227,0.0,-19.81486838,-19.81486838
2016,Arkansas,Lawrence County,16735,-6,180,245,-65,2,60,62,-3,653,10.753972996,14.637352133,-3.883379137,0.1194885888,3.5846576652,3.704146254
2016,Arkansas,Lee County,9310,-335,105,116,-11,1,-322,-321,-3,1757,11.07887101,12.23951464,-1.16064363,0.1055130572,-33.97520443,-33.86969137
2016,Arkansas,Lincoln County,13705,-136,127,129,-2,0,-127,-127,-7,3805,9.2209395193,9.3661511653,-0.145211646,0.0,-9.220939519,-9.220939519
2016,Arkansas,Little River County,12451,6,130,163,-33,-2,49,47,-8,123,10.44344473,13.094473008,-2.651028278,-0.16066838,3.9363753213,3.7757069409
2016,Arkansas,Logan County,21792,-4,271,299,-28,30,5,35,-11,573,12.434615032,13.719372304,-1.284757273,1.3765256493,0.2294209415,1.6059465908
2016,Arkansas,Lonoke County,72228,531,931,669,262,122,148,270,-1,572,12.937293729,9.2965085982,3.6407851311,1.6953274275,2.0566267153,3.7519541428
2016,Arkansas,Madison County,16072,355,190,154,36,2,325,327,-8,79,11.953820504,9.6888860927,2.2649344113,0.1258296895,20.447324546,20.573154236
2016,Arkansas,Marion County,16325,111,156,256,-100,3,208,211,0,141,9.5884938074,15.734964197,-6.146470389,0.1843941117,12.78465841,12.969052522
2016,Arkansas,Miller County,43787,-112,586,471,115,-1,-224,-225,-2,1472,13.365873686,10.742877996,2.6229956892,-0.022808658,-5.109139429,-5.131948087
2016,Arkansas,Mississippi County,42835,-864,649,518,131,17,-1051,-1034,39,807,14.999884438,11.972172788,3.0277116509,0.3929091455,-24.29103012,-23.89812097
2016,Arkansas,Monroe County,7169,-246,96,117,-21,0,-226,-226,1,84,13.165112452,16.044980801,-2.879868349,0.0,-30.9928689,-30.9928689
2016,Arkansas,Montgomery County,8879,-93,82,142,-60,6,-39,-33,0,121,9.1871603832,15.909472859,-6.722312475,0.6722312475,-4.369503109,-3.697271862
2016,Arkansas,Nevada County,8398,-155,88,105,-17,0,-143,-143,5,157,10.382868267,12.388649637,-2.00578137,0.0,-16.87216093,-16.87216093
2016,Arkansas,Newton County,7936,13,74,101,-27,0,37,37,3,51,9.3322403682,12.737246989,-3.405006621,0.0,4.6661201841,4.6661201841
2016,Arkansas,Ouachita County,24098,-272,271,342,-71,13,-200,-187,-14,352,11.182635966,14.11240406,-2.929768094,0.5364364117,-8.252867872,-7.71643146
2016,Arkansas,Perry County,10132,-50,110,120,-10,1,-51,-50,10,152,10.829969479,11.814512159,-0.98454268,0.098454268,-5.021167668,-4.9227134
2016,Arkansas,Phillips County,18975,-559,287,273,14,6,-616,-610,37,246,14.905606482,14.178503726,0.7271027552,0.3116154665,-31.99252123,-31.68090576
2016,Arkansas,Pike County,10832,-22,110,128,-18,10,-7,3,-7,196,10.144793876,11.804851056,-1.66005718,0.9222539887,-0.645577792,0.2766761966
2016,Arkansas,Poinsett County,24023,-5,316,341,-25,15,23,38,-18,341,13.152691931,14.193253002,-1.040561071,0.6243366423,0.9573161849,1.5816528272
