fips,ALAND,AWATER,image_name
1001,1539631461,25677536,Autauga_01001
1003,4117725048,1132887203,Baldwin_01003
1005,2292160151,50523213,Barbour_01005
1007,1612188713,9572302,Bibb_01007
1009,1670259100,14860281,Blount_01009
1011,1613083468,6030667,Bullock_01011
1013,2012002548,2701199,Butler_01013
1015,1569248377,16534047,Calhoun_01015
1017,1545068570,16988729,Chambers_01017
1019,1433620850,120310807,Cherokee_01019
1021,1794438908,20592054,Chilton_01021
1023,2365900084,19114321,Choctaw_01023
1025,3207494083,36657889,Clarke_01025
1027,1564255426,5281616,Clay_01027
1029,1450666453,2352217,Cleburne_01029
1031,1758565928,3907189,Coffee_01031
1033,1535740663,79162005,Colbert_01033
1035,2202213383,6426488,Conecuh_01035
1037,1685846963,39991153,Coosa_01037
1039,2669165560,34194851,Covington_01039
1041,1576952763,5388562,Crenshaw_01041
1043,1902965941,52529994,Cullman_01043
1045,1453276164,4051341,Dale_01045
1047,2534919602,39124772,Dallas_01047
1049,2012620262,4107136,DeKalb_01049
1051,1601948960,99777799,Elmore_01051
1053,2448595164,20024887,Escambia_01053
1055,1385916764,35022972,Etowah_01055
1057,1625693253,4330881,Fayette_01057
1059,1641945980,32539346,Franklin_01059
1061,1487908432,11567409,Geneva_01061
1063,1675782054,33416150,Greene_01063
1065,1667926667,32403804,Hale_01065
1067,1455293386,16620066,Henry_01067
1069,1501742235,4795415,Houston_01069
1071,2792044644,126334711,Jackson_01071
1073,2878876058,32657853,Jefferson_01073
1075,1566544672,1600679,Lamar_01075
1077,1730157475,133597557,Lauderdale_01077
1079,1788864400,68682236,Lawrence_01079
1081,1573532974,21510597,Lee_01081
1083,1459209232,113398272,Limestone_01083
1085,1854651875,23271196,Lowndes_01085
1087,1576435599,11765503,Macon_01087
1089,2076138753,28783868,Madison_01089
1091,2530155124,14951685,Marengo_01091
1093,1922657200,3183480,Marion_01093
1095,1465531837,148497637,Marshall_01095
1097,3184064132,1074011164,Mobile_01097
1099,2656469672,22609681,Monroe_01099
1101,2034059353,37703222,Montgomery_01101
1103,1501335553,50196370,Morgan_01103
1105,1863936201,10902207,Perry_01105
1107,2282835044,22621093,Pickens_01107
1109,1740645369,2339145,Pike_01109
1111,1503618354,9283013,Randolph_01111
1113,1660652495,15564412,Russell_01113
1115,1635759668,56431801,St._Clair_01115
1117,2034281696,62286215,Shelby_01117
1119,2340898915,24634880,Sumter_01119
1121,1908347265,60873716,Talladega_01121
1123,1855797991,128790986,Tallapoosa_01123
1125,3420980038,78703449,Tuscaloosa_01125
1127,2048757782,36683003,Walker_01127
1129,2797848586,21524393,Washington_01129
1131,2299540558,50592191,Wilcox_01131
1133,1587657467,48873867,Winston_01133
2013,18094314940,20797208728,Aleutians_East_02013
2020,4421121090,620772451,Anchorage_02020
2050,105253430580,12735049150,Bethel_02050
2060,1248248809,949842637,Bristol_Bay_02060
2063,24683085007,14538012081,Chugach_02063
2066,63953072617,1218890955,Copper_River_02066
2068,32740165566,66105677,Denali_02068
2070,47484825298,5943879883,Dillingham_02070
2090,18996920890,259490619,Fairbanks_North_Star_02090
2100,6069910088,1042408269,Haines_02100
2105,16989573435,7803641230,Hoonah-Angoon_02105
2110,7003853675,1426248704,Juneau_02110
2122,41485210464,22540897216,Kenai_Peninsula_02122
2130,12579623384,4651597936,Ketchikan_Gateway_02130
2150,17325674232,14147257374,Kodiak_Island_02150
2158,44229459238,6686116460,Kusilvak_02158
2164,61724231553,25989628379,Lake_and_Peninsula_02164
2170,63991627244,1445752957,Matanuska-Susitna_02170
2180,59490749603,13780642800,Nome_02180
2185,230052121425,15551062281,North_Slope_02185
2188,92367472818,12837268667,Northwest_Arctic_02188
2195,7513110542,2385848260,Petersburg_02195
2198,13643584003,14612158683,Prince_of_Wales-Hyder_02198
2220,7433427535,5037735764,Sitka_02220
2230,1123980973,28784118,Skagway_02230
2240,64315282486,749292918,Southeast_Fairbanks_02240
2275,6620347765,2384381271,Wrangell_02275
2282,19749306497,3986144517,Yakutat_02282
2290,377055293513,5947344387,Yukon-Koyukuk_02290
4001,29003497251,54139714,Apache_04001
4003,16083471945,17648749,Cochise_04003
4005,48216132682,116637123,Coconino_04005
4007,12322068647,96466819,Gila_04007
4009,11970605959,47476264,Graham_04009
4011,4772927116,11947401,Greenlee_04011
4012,11646086556,36514346,La_Paz_04012
4013,23833110838,62124435,Maricopa_04013
4015,34530024142,333399390,Mohave_04015
4017,25769065747,24121095,Navajo_04017
4019,23798578895,5112015,Pima_04019
4021,13899613086,20747212,Pinal_04021
4023,3201899628,3068237,Santa_Cruz_04023
4025,21038297493,11358280,Yavapai_04025
4027,14280726749,13242852,Yuma_04027
5001,2569631425,120698186,Arkansas_05001
5003,2397012344,38656004,Ashley_05003
5005,1434675033,84916246,Baxter_05005
5007,2195617603,94872357,Benton_05007
5009,1527375316,31797985,Boone_05009
5011,1681335016,9505606,Bradley_05011
5013,1628067843,9887802,Calhoun_05013
5015,1631504871,22715757,Carroll_05015
5017,1649764401,140413175,Chicot_05017
5019,2242855171,43965580,Clark_05019
5021,1655581941,5497697,Clay_05021
