year,state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
2016,Alabama,1001,Autauga County,18110,5908,24661,12202.0,0.734357893029,0.239568549532,49.48
2016,Alabama,1003,Baldwin County,72780,18409,94090,54371.0,0.773514719949,0.195653098098,57.79
2016,Alabama,1005,Barbour County,5431,4848,10390,583.0,0.522714148219,0.466602502406,5.61
2016,Alabama,1007,Bibb County,6733,1874,8748,4859.0,0.769661636946,0.214220393233,55.54
2016,Alabama,1009,Blount County,22808,2150,25384,20658.0,0.89851875197,0.0846990230066,81.38
2016,Alabama,1011,Bullock County,1139,3530,4701,2391.0,0.242288874708,0.750904062965,50.86
2016,Alabama,1013,Butler County,4891,3716,8685,1175.0,0.563154864709,0.427864133564,13.53
2016,Alabama,1015,Calhoun County,32803,13197,47376,19606.0,0.692396994259,0.278558763931,41.38
2016,Alabama,1017,Chambers County,7803,5763,13778,2040.0,0.566337639715,0.418275511685,14.81
2016,Alabama,1019,Cherokee County,8809,1524,10503,7285.0,0.838712748738,0.1451013996,69.36
2016,Alabama,1021,Chilton County,15068,2909,18255,12159.0,0.825417693783,0.159353601753,66.61
2016,Alabama,1023,Choctaw County,4102,3109,7268,993.0,0.564391854706,0.427765547606,13.66
2016,Alabama,1025,Clarke County,7109,5712,12936,1397.0,0.549551638837,0.441558441558,10.8
2016,Alabama,1027,Clay County,5230,1234,6572,3996.0,0.795800365186,0.187766281193,60.8
2016,Alabama,1029,Cleburne County,5738,684,6532,5054.0,0.878444580527,0.10471524801,77.37
2016,Alabama,1031,Coffee County,15825,4194,20513,11631.0,0.771461999708,0.204455711013,56.7
2016,Alabama,1033,Colbert County,16718,7296,24626,9422.0,0.678875984732,0.2962722326,38.26
2016,Alabama,1035,Conecuh County,3413,3069,6543,344.0,0.521626165368,0.469050894085,5.26
2016,Alabama,1037,Coosa County,3376,1780,5223,1596.0,0.646371816963,0.340800306337,30.56
2016,Alabama,1039,Covington County,13222,2379,15818,10843.0,0.835883171071,0.15039828044,68.55
2016,Alabama,1041,Crenshaw County,4511,1663,6252,2848.0,0.721529110685,0.265994881638,45.55
2016,Alabama,1043,Cullman County,32734,3730,37278,29004.0,0.878105048554,0.100059016042,77.8
2016,Alabama,1045,Dale County,13798,4408,18617,9390.0,0.741150561315,0.236772842026,50.44
2016,Alabama,1047,Dallas County,5784,12826,18730,7042.0,0.30880939669,0.684783769354,37.6
2016,Alabama,1049,DeKalb County,21779,3682,26086,18097.0,0.834892279384,0.141148508779,69.37
2016,Alabama,1051,Elmore County,27619,8436,36905,19183.0,0.748380978187,0.228586912343,51.98
2016,Alabama,1053,Escambia County,10282,4698,15213,5584.0,0.67586932229,0.308814829422,36.71
2016,Alabama,1055,Etowah County,32132,10350,43474,21782.0,0.739108432626,0.238073331186,50.1
2016,Alabama,1057,Fayette County,6705,1358,8196,5347.0,0.818081991215,0.165690580771,65.24
2016,Alabama,1059,Franklin County,9466,2197,11955,7269.0,0.791802593057,0.183772480134,60.8
2016,Alabama,1061,Geneva County,9967,1522,11659,8445.0,0.854876061412,0.13054292821,72.43
2016,Alabama,1063,Greene County,838,4006,4862,3168.0,0.17235705471,0.823940765117,65.16
2016,Alabama,1065,Hale County,3172,4772,8010,1600.0,0.396004993758,0.595755305868,19.98
2016,Alabama,1067,Henry County,5623,2286,8017,3337.0,0.701384557815,0.285144068854,41.62
2016,Alabama,1069,Houston County,30567,10547,42030,20020.0,0.727266238401,0.250939804901,47.63
2016,Alabama,1071,Jackson County,16643,3663,20785,12980.0,0.800721674284,0.176232860236,62.45
2016,Alabama,1073,Jefferson County,130614,151581,290111,20967.0,0.450220777564,0.522493114704,7.23
2016,Alabama,1075,Lamar County,5819,1035,6931,4784.0,0.839561390853,0.14932910114,69.02
2016,Alabama,1077,Lauderdale County,27735,9877,38813,17858.0,0.714580166439,0.254476592894,46.01
2016,Alabama,1079,Lawrence County,10732,3611,14623,7121.0,0.733912329891,0.246939752445,48.7
2016,Alabama,1081,Lee County,34321,20987,57668,13334.0,0.595148089062,0.363928001665,23.12
